inbox_path,repo,repo_path,inbox_bytes,repo_bytes,inbox_only_lines,repo_only_lines,repo_git_date,recommendation
CURRENT.md,operations,CURRENT.md,11156,20952,73,137,2026-06-24,repo canonical (verify) — minor/mixed drift
GOVERNANCE.md,operations,GOVERNANCE.md,15988,28684,99,159,2026-06-24,repo canonical (verify) — minor/mixed drift
REGISTERED.md,operations,REGISTERED.md,17698,185383,91,2348,2026-06-24,repo canonical (verify) — minor/mixed drift
SEED.md,operations,SEED.md,22922,29655,148,142,2026-06-07,repo canonical (verify) — minor/mixed drift
SESSION_RITUALS.md,operations,SESSION_RITUALS.md,11571,26797,11,163,2026-06-08,repo canonical (verify) — minor/mixed drift
SUBSTRATE_CAPABILITY_REGISTRY.md,operations,SUBSTRATE_CAPABILITY_REGISTRY.md,29926,30468,0,2,2026-05-11,repo canonical (verify) — minor/mixed drift
main.py,operations,tools/Metaculus/main.py,60097,49869,1009,834,2026-06-24,INBOX-AHEAD? review — inbox notably larger/additive
haios_agent_orchestrator_v1_0_patched.py,operations,tools/haios_agent_orchestrator_v1_0_patched.py,21738,25683,5,93,2026-06-25,repo canonical (verify) — minor/mixed drift
haios_github_inspector.jsx,operations,tools/haios_github_inspector.jsx,27578,25394,592,601,2026-06-05,repo canonical (verify) — minor/mixed drift
registry_loader.py,operations,tools/registry_loader.py,18190,16971,316,312,2026-06-20,repo canonical (verify) — minor/mixed drift
triage_log_service.py,operations,tools/triage_log_service.py,7122,6767,140,138,2026-06-20,repo canonical (verify) — minor/mixed drift
